cricos_provider_code,trading_name,institution_name,institution_type,website,,,,,,,,,,,,,,
02658G,"Abbey College Australia, Abbey Training",Logic Entity Australia Pty Ltd,Private,www.abbeycollege.edu.au,,,,,,,,,,,,,,
02663M,"Browns English Language School, Browns Professional",Browns English Language School Pty Ltd,Private,www.brownsenglish.edu.au,,,,,,,,,,,,,,
02664K,Excelsia University College,Excelsia University College,Private,http://excelsia.edu.au/,,,,,,,,,,,,,,
02668F,Pacific College of Technology,Pacific College Pty Ltd,Private,www.pct.edu.au,,,,,,,,,,,,,,
02674G,International School of Western Australia,Australian Association for International Education Inc,Private,www.iswa.wa.edu.au,,,,,,,,,,,,,,
02708C,Gold Coast Christian College,Seventh-Day Adventist Schools (South Queensland) Limited,Private,www.goldcoastchristiancollege.qld.edu.au,,,,,,,,,,,,,,
02709B,NULL,Trinity College Senior School,Private,www.trinity.sa.edu.au,,,,,,,,,,,,,,
02723D,UOW College Australia,UOWC Ltd,Private,www.uowcollege.edu.au,,,,,,,,,,,,,,
02724C,Australian International Islamic College Board Inc,Australian International Islamic College Board Inc,Private,www.aiic.qld.edu.au,,,,,,,,,,,,,,
02731D,Avondale University,Avondale University,Private,www.avondale.edu.au,,,,,,,,,,,,,,
02743M,LYCEE CONDORCET THE INTERNATIONAL FRENCH SCHOOL OF SYDNEY,LYCEE CONDORCET THE INTERNATIONAL FRENCH SCHOOL OF SYDNEY LTD,Private,www.condorcet.com.au,,,,,,,,,,,,,,
02746G,Queensland Academy of Technology,Australia Moreton Education Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
02751M,University Preparation College,UPC Pty Ltd,Private,www.upc.edu.au,,,,,,,,,,,,,,
02759C,The Kooralbyn International School,Kooralbyn Campus Inc,Private,www.tkis.qld.edu.au,,,,,,,,,,,,,,
02763G,Queensland International Institute,Queensland International Study Group Pty Ltd,Private,www.qii.qld.edu.au,,,,,,,,,,,,,,
02790D,"Hays International College Pty Ltd, Hays International College",Hays International College Pty Ltd,Private,www.hic.vic.edu.au,,,,,,,,,,,,,,
02799F,St George College,St George College Inc,Private,www.sgc.sa.edu.au,,,,,,,,,,,,,,
02815M,Menzies Institute of Technology,Menzies Institute of Technology Pty Ltd,Private,http://www.menzies.vic.edu.au,,,,,,,,,,,,,,
02851G,"UWS College, Western Sydney University The College,UWS Enterprises Pty Limited",Western Sydney University Enterprises Pty Limited,Private,www.westernsydney.edu.au/thecollege,,,,,,,,,,,,,,
02868J,Australian Institute of Technical Training Pty Ltd,Australian Institute of Technical Training Pty Ltd,Private,http://www.aitt.vic.edu.au,,,,,,,,,,,,,,
02870D,Crown Institute of Business and Technology,Crown Institute of Business and Technology Pty Ltd,Private,https://www.cibt.edu.au,,,,,,,,,,,,,,
02880B,Quality College of Australia,The Quality Training and Hospitality College Pty Ltd,Private,https://www.qca.edu.au/,,,,,,,,,,,,,,
02885G,"IH Brisbane - ALS, Australian Fitness Schools, Australian Language Schools, ALS Certificates and Diplomas, International House Brisbane - ALS",Australian Language Schools Pty Ltd,Private,www.ihbrisbane.com.au; www.alscertificates.com,,,,,,,,,,,,,,
02886G,Melbourne College of Hair and Beauty; Melbourne College of Training & Assessment,Melbourne College of Hairdressing Beauty Therapy & Natural Medicine Pty Ltd,Private,http://www.mcohb.com.au,,,,,,,,,,,,,,
02892J,Institute of Tertiary and Higher Education Australia,ITHEA Corporation Pty Ltd,Private,http://www.ithea.vic.edu.au,,,,,,,,,,,,,,
02899B,DNA Kingston Training,Kingston Training and Employment Pty Ltd,Private,www.dnakingstontraining.edu.au,,,,,,,,,,,,,,
02925E,Education Training & Employment Australia,Education Training & Employment Australia Pty. Ltd.,Private,http://www.etea.edu.au,,,,,,,,,,,,,,
02933E,"ALACC Health College, Australia",Australasian Lawrence Aged Care College Pty Ltd,Private,www.alacchealth.edu.au,,,,,,,,,,,,,,
02934D,"Southern Cross Education Institute, North Melbourne Grammar College",Southern Cross Education Institute Pty Ltd,Private,www.scei.com.au,,,,,,,,,,,,,,
02938M,NULL,Canterbury Technical Institute Pty Ltd,Private,www.cti.qld.edu.au,,,,,,,,,,,,,,
02943C,Covenant Christian School,Covenant College Tuggeranong ACT Association Incorporated,Private,http://www.covenant.act.edu.au,,,,,,,,,,,,,,
02945A,New England Girls' School,NEGS LIMITED,Private,www.negs.nsw.edu.au,,,,,,,,,,,,,,
02954M,Coolum Beach Christian College,Coolum Beach Christian College Ltd,Private,www.cbcc.qld.edu.au,,,,,,,,,,,,,,
02961A,Melbourne College of Further Education,Iascend Polytechnic Pty Ltd,Private,www.mcfe.com.au,,,,,,,,,,,,,,
02975F,Astute Training Pty Ltd,Astute Training Pty Ltd,Private,www.astutetraining.com.au,,,,,,,,,,,,,,
02992E,RC (Rhodes College),Queens Group Pty Ltd,Private,http://www.rhodescollege.vic.edu.au/,,,,,,,,,,,,,,
03015B,NULL,New Cambridge College Sydney Inc,Private,www.nccs.nsw.edu.au,,,,,,,,,,,,,,
03020E,TAFE Queensland,TAFE Queensland,Government,www.tafeqld.edu.au,,,,,,,,,,,,,,
03024A,"Melbourne City Institute of Education, Explore English","Melbourne City Institute of Education Pty Ltd, as trustee for MCIE Unit Trust",Private,www.mcie.edu.au,,,,,,,,,,,,,,
03033M,St Ursula's College Toowoomba,The Corporation of the Roman Catholic Diocese of Toowoomba,Private,www.st-ursula.qld.edu.au,,,,,,,,,,,,,,
03039E,Ironwood Career & Training; Ironwood Institute; Imperial College of Trades,Imperial Education Group Pty Ltd,Private,www.ironwood.edu.au,,,,,,,,,,,,,,
03041M,TasTAFE,TasTAFE,Government,www.tastafe.tas.edu.au/international,,,,,,,,,,,,,,
03053G,Australian Ideal College,Australian Ideal College Pty Ltd,Private,www.aic.edu.au,,,,,,,,,,,,,,
03057C,College of Sports & Fitness,International College of Capoeira Pty Ltd,Private,www.csf.edu.au,,,,,,,,,,,,,,
03105M,King's Institute of Managment and Technology,King's Institute of Management and Technology Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03122K,SGSCC International,St George & Sutherland Community College Incorporated,Private,http://www.sgscc.edu.au/international,,,,,,,,,,,,,,
03133G,Adelaide Institute of Health,Adelaide Institute of Business and Technology Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03149K,International Institute of Management & American College,International Institute of Management Pty Ltd,Private,"www.americancollege.com.au, www.americancollege.edu.au",,,,,,,,,,,,,,
03171A,King's Own Institute,Australian Institute of Business and Management Pty Ltd,Private,www.koi.edu.au,,,,,,,,,,,,,,
03173K,Australis Institute of Technology and Education (AITE),ALIF Australia Pty Ltd,Private,www.australisinstitute.nsw.edu.au,,,,,,,,,,,,,,
03182J,Beaconhills College,Beaconhills Christian College Ltd,Private,www.beaconhills.vic.edu.au,,,,,,,,,,,,,,
03188C,West Australian Institute of Further Studies,West Australian Institute of Further Studies Pty Ltd,Private,http://www.waifs.wa.edu.au,,,,,,,,,,,,,,
03208D,George Brown College,Captain Cook Institute Pty Ltd,Private,www.georgebrown.nsw.edu.au,,,,,,,,,,,,,,
03220G,EIM International Training Pty Ltd,EIM International Training Pty Ltd,Private,http://www.eiminternational.edu.au,,,,,,,,,,,,,,
03233C,"Nan Tien Institute, NTI English Language Centre, NTI Business",Nan Tien Institute Limited,Private,http://www.nantien.edu.au,,,,,,,,,,,,,,
03246J,Groves Christian College,Christian Community Ministries Ltd,Private,www.groves.qld.edu.au,,,,,,,,,,,,,,
03251A,Cairns College of English & Business,Cairns College of English Pty Ltd,Private,www.cceb.qld.edu.au,,,,,,,,,,,,,,
03255G,Australian Professional Skills Institute,Australian Professional Skills Institute Pty Ltd,Private,www.apsi.wa.edu.au,,,,,,,,,,,,,,
03268C,Gold Coast Learning Centre,Gold Coast Learning Centre Pty Ltd,Private,www.goldcoaststudy.com,,,,,,,,,,,,,,
03275D,Empyrean Education Institute,Equanimity Consultants Pty Ltd,Private,http://www.eei.wa.edu.au,,,,,,,,,,,,,,
03282E,Perth College of Beauty Therapy; YES College,MVJ Enterprises Pty Ltd,Private,www.perthcollege.com.au,,,,,,,,,,,,,,
03285B,All Saints Grammar,The Greek Orthodox Parish & Community of Belmore & District All Saints Ltd,Private,www.allsaints.nsw.edu.au,,,,,,,,,,,,,,
03288K,Pymble Ladies' College,Pymble Ladies' College,Private,www.pymblelc.nsw.edu.au,,,,,,,,,,,,,,
03290E,Stella Maris College,Stella Maris College,Private,www.stellamaris.nsw.edu.au,,,,,,,,,,,,,,
03298G,Genazzano FCJ College,Genazzano FCJ College Limited,Private,www.genazzano.vic.edu.au,,,,,,,,,,,,,,
03300G,St Augustine's College Sydney,St Augustine's College Sydney,Private,www.saintaug.nsw.edu.au,,,,,,,,,,,,,,
03312D,La Trobe College Australia,Navitas Bundoora Pty Ltd,Private,http://www.latrobemelbourne.edu.au,,,,,,,,,,,,,,
03317K,St Patrick's College Townsville,St Patrick's College Townsville Limited,Private,www.stpatscollege.qld.edu.au,,,,,,,,,,,,,,
03326J,Samford Valley Steiner School,Rudolf Steiner Education Group Brisbane Inc,Private,www.samfordsteiner.qld.edu.au,,,,,,,,,,,,,,
03330B,Macquarie Grammar School,Macquarie Grammar School Limited,Private,www.macquariegrammarschool.edu.au,,,,,,,,,,,,,,
03332M,Catholic Schools Office Lismore Diocese,Diocese of Lismore Catholic Schools Limited,Private,www.lism.catholic.edu.au,,,,,,,,,,,,,,
03336G,Sydney Catholic Schools,Sydney Catholic Schools Ltd as Trustee for the Sydney Catholic Schools Trust,Private,www.ceosyd.catholic.edu.au,,,,,,,,,,,,,,
03337F,St Scholastica's College Glebe Point,St Scholastica's College,Private,www.scholastica.nsw.edu.au,,,,,,,,,,,,,,
03338E,Rosebank College,Rosebank College,Private,www.rosebank.nsw.edu.au,,,,,,,,,,,,,,
03339D,"Catholic Schools Office, Maitland-Newcastle Diocese",Trustees of the Roman Catholic Church for the Diocese of Maitland-Newcastle,Private,mn.catholic.edu.au,,,,,,,,,,,,,,
03352G,Tasmanian Government Education International,"Department for Education, Children and Young People",Government,https://study.tas.gov.au,,,,,,,,,,,,,,
03364C,Galstaun College,Hamazkaine - Arshak & Sophie Galstaun College Limited,Private,www.galstaun.nsw.edu.au,,,,,,,,,,,,,,
03370E,Fountain College,Baris Education and Culture Foundation Limited,Private,http://fountain.wa.edu.au/,,,,,,,,,,,,,,
03373B,NULL,Job Training Institute Pty Ltd,Private,www.jti.edu.au,,,,,,,,,,,,,,
03374A,NULL,Everest Institute of Education Pty Ltd,Private,http://www.everest.edu.au,,,,,,,,,,,,,,
03375M,Emmaus Bible College,AUSTRALIAN COLLEGE OF CHRISTIAN STUDIES LTD,Private,www.ccs.edu.au,,,,,,,,,,,,,,
03377J,Signet Institute of Australia,Signet Institute of Australia,Private,www.acfe.edu.au,,,,,,,,,,,,,,
03391M,Sheridan Institute of Higher Education,Sheridan College Inc,Private,www.sheridan.edu.au,,,,,,,,,,,,,,
03392K,Collarts,Australian College of the Arts Pty Ltd,Private,www.collarts.edu.au,,,,,,,,,,,,,,
03395G,Berkeley Business Institute Pty Ltd,Berkeley Business Institute Pty Ltd,Private,www.berkeley.edu.au,,,,,,,,,,,,,,
03396F,The Australian College for International Studies (TACIS),CHC Services Pty Ltd,Private,www.tacis.edu.au,,,,,,,,,,,,,,
03398D,Pal Buddhist School,Pal Buddhist School Limited,Private,www.pal.nsw.edu.au,,,,,,,,,,,,,,
03400D,Australian College of Studies Co.,Australian Academy of Nursing Pty Ltd,Private,www.acos.edu.au,,,,,,,,,,,,,,
03401C,"Max Therapy Institute, MAX English",Max Therapy School Pty Ltd,Private,www.mti.vic.edu.au,,,,,,,,,,,,,,
03402B,Australian Institute of Language and Further Education,Australian Association of Education and Research Pty Ltd,Private,http://www.ailfe.wa.edu.au,,,,,,,,,,,,,,
03404M,Amity College,Amity College Australia Limited,Private,www.amitycollege.nsw.edu.au,,,,,,,,,,,,,,
03406J,Lawson College Australia,Lawson College Australia Pty Ltd,Private,www.lawsoncollege.edu.au,,,,,,,,,,,,,,
03407G,NULL,Institute of Health & Management Pty Ltd,Private,http://www.ihm.edu.au/,,,,,,,,,,,,,,
03411A,Iona Columba College,Iona Columba College Pty Ltd,Private,www.iona.edu.au,,,,,,,,,,,,,,
03415G,Protea College,TTY Collective Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03417F,"Charter Training, Charter Education",Charter Australia Pty Ltd,Private,www.charter.edu.au,,,,,,,,,,,,,,
03418E,Byron Yoga Centre,Purna Yoga Ltd,Private,www.byronyoga.com,,,,,,,,,,,,,,
03423G,Oakleigh Grammar,The Greek Orthodox Community of Oakleigh and District Inc,Private,http://www.oakleighgrammar.vic.edu.au,,,,,,,,,,,,,,
03426E,Australian College of Business Intelligence,Australian College of Business Intelligence Pty Ltd,Private,http://www.acbi.edu.au,,,,,,,,,,,,,,
03427D,Sydney Metro College,Sydney Metro College Pty Ltd,Private,www.sydneymetrocollege.edu.au,,,,,,,,,,,,,,
03432G,Entrepreneur Education,Entrepreneur Education Pty Ltd,Private,www.entrepreneur.edu.au,,,,,,,,,,,,,,
03442E,"Australian Skills Management Institute, Australian Skills Management Institute NSW",Australian Hospitality Skills Recognition Pty Ltd,Private,www.asmitraining.edu.au,,,,,,,,,,,,,,
03443D,Global Business College Of Australia Pty Ltd,Global Business College Of Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03447M,"BCCI, BCC Institute",Bankstown Community College Inc.,Private,www.bcci.edu.au,,,,,,,,,,,,,,
03449J,Australian Harbour International College,Australian Harvard International College Pty Ltd,Private,http://www.ahic.edu.au,,,,,,,,,,,,,,
03450E,Dalton College,Global Education Consultant Pty Ltd,Private,www.daltoncollege.com.au,,,,,,,,,,,,,,
03457J,Times Academy Pty Ltd,Times Academy Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03461B,Australian College of Christianity,Australia Christian College Pty Ltd,Private,accu.edu.au,,,,,,,,,,,,,,
03469E,Australian Institute of Advanced Studies Pty Ltd,Australian Institute of Advanced Studies Pty Ltd,Private,www.aias.edu.au,,,,,,,,,,,,,,
03472K,Turner English,Education Hub Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03473J,Aventia Institute Pty Ltd,Aventia Institute Pty Ltd,Private,www.aventia.edu.au,,,,,,,,,,,,,,
03480K,Australasian International Academy Pty Ltd,Australasian International Academy Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03486D,"AUSTRALIAN ACADEMY OF TRADES, Queensland International Institute of technology",AUSTRALIAN ACADEMY OF TRADES PTY LTD,Private,NULL,,,,,,,,,,,,,,
03507D,NULL,Australian Global College Pty Ltd,Private,www.agc.edu.au,,,,,,,,,,,,,,
03509B,NEW ERA INSTITUTE PTY LTD,NEW ERA INSTITUTE PTY LTD,Private,www.newerainstitute.edu.au,,,,,,,,,,,,,,
03515D,NULL,KKTC EDUCATION PTY LTD,Private,https://www.koolkidstrainingcollege.com.au,,,,,,,,,,,,,,
03519M,Linx Institute Australia,Linx Institute College Pty Ltd,Private,www.linx.edu.au,,,,,,,,,,,,,,
03521F,Skills Training Australia,Transformations - Pathways to Competence and Developing Excellence Pty Ltd,Private,http://skillstraining.edu.au,,,,,,,,,,,,,,
03523D,Southern Cross School of Business,Student Development and Learning (SDL) Academy Pty Ltd,Private,http://www.scsb.nsw.edu.au,,,,,,,,,,,,,,
03529J,Mechanical Institute of Training and Technology Pty Ltd,Mechanical Institute of Training and Technology Pty Ltd,Private,www.mitt.vic.edu.au,,,,,,,,,,,,,,
03530E,NULL,The Cairnmillar Institute,Private,http://www.cairnmillar.edu.au/,,,,,,,,,,,,,,
03535M,Polytechnic Institute Australia; Australian Polytechnic Institute,Polytechnic Institute Australia Pty Ltd,Private,http://www.pia.edu.au/,,,,,,,,,,,,,,
03537J,"Australian Capital College, Capital College",Australian Capital Group Pty Ltd,Private,www.capital.edu.au,,,,,,,,,,,,,,
03540C,Clinton Institute,Clinton Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03542A,Mastery Institute Australia,QIHE PTY LTD,Private,http://www.mastery.edu.au,,,,,,,,,,,,,,
03546G,Elite Education Vocational Institute,Elite Education Group PTY. LTD.,Private,https://vocational.ee.edu.au/,,,,,,,,,,,,,,
03547G,Anglican Schools Commission International; ASC International; Esperance ACS; Frederick Irwin AS; Georgiana Molloy AS; John Septimus Roe ACS; John Wollston ACS; Peter Carnley ACS; Peter Moyes ACS; St George's AGS; St James AS; St Mark's ACS; Swan Valley AC,The Anglican Schools Commission Incorporated,Private,www.ascinternational.wa.edu.au,,,,,,,,,,,,,,
03558D,Roseville College,Anglican Schools Corporation,Private,www.rosevillecollege.com,,,,,,,,,,,,,,
03560K,"Windsor College Australia, Smart English Melbourne",Windsor College Pty Ltd,Private,https://www.windsorcollege.edu.au/,,,,,,,,,,,,,,
03564F,Global College Australasia,GLOBAL COLLEGE AUSTRALASIA PTY. LTD.,Private,https://www.globalcollege.edu.au,,,,,,,,,,,,,,
03575C,Nurse Training Australia,Care Plus Training Pty Ltd,Private,www.nursetrainingaustralia.com.au,,,,,,,,,,,,,,
03576B,KCA Education,Learning Lab Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03590D,National Institute of Education and Technology,AUSTRALIA ACADEMY INTERNATIONAL PTY LTD,Private,www.niet.edu.au,,,,,,,,,,,,,,
03592B,Melbourne City College Australia,Melbourne City College Pty Ltd,Private,www.melbournecitycollege.edu.au,,,,,,,,,,,,,,
03605B,College of English Education and Training Australia,Australian Frontline Training College Pty Ltd,Private,www.ceetacollege.qld.edu.au,,,,,,,,,,,,,,
03611D,NULL,Zoi Education Pty Ltd,Private,www.zoi.vic.edu.au,,,,,,,,,,,,,,
03614A,AAAR INSTITUTE OF BUSINESS AND TECHNOLOGY,RANSFORD COLLEGE PTY LTD,Private,NULL,,,,,,,,,,,,,,
03617J,NULL,Level Up Education & Training Academy Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03622A,Rosehill College,AISL PTY LTD,Private,http://www.rosehillcollege.edu.au,,,,,,,,,,,,,,
03623M,NULL,Strategix Training Group Pty Ltd,Private,http://www.strategix.com.au,,,,,,,,,,,,,,
03627G,Mid City College,MID CITY EDUCATION PTY LTD,Private,NULL,,,,,,,,,,,,,,
03638D,INT Nurse Training,INT Nurse Training Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03640K,Axis Institute,Manigram Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03642G,"Dolph Business School, Edna Business Institute of Melbourne",DOLPH LEARNING PTY LTD,Private,NULL,,,,,,,,,,,,,,
03644F,Key 2 Learning Pty Ltd,Key 2 Learning Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03647C,Academy of Education and Innovation Australia,EDUCATION AND INNOVATION GROUP AUSTRALIA PTY LTD,Private,NULL,,,,,,,,,,,,,,
03648B,SOUTH SYDNEY COLLEGE (SSC),KNIT GROUP AUSTRALIA PTY LTD,Private,NULL,,,,,,,,,,,,,,
03651G,Australian Training & Qualification College,Akram Kahla Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03657A,Kingston Academy of Australia,F & Z EDUCATION PTY LTD,Private,NULL,,,,,,,,,,,,,,
03658M,The Springfield Anglican College,FSAC Ltd,Private,www.tsac.qld.edu.au,,,,,,,,,,,,,,
03663C,Western Sydney University International College Pty Ltd,Western Sydney University International College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03665A,Metro Institute,Australian Professional Education Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03669G,Educare College,Educare Training Institute of Australasia Pty Ltd,Private,http://www.educare.edu.au,,,,,,,,,,,,,,
03670D,NULL,Harbourside Institute of Australia Pty Ltd,Private,www.harbourside.nsw.edu.au,,,,,,,,,,,,,,
03675K,Alana Kaye College,Alana Kaye Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03682M,"AUSTRALIAN NATIONAL INSTITUTE OF EDUCATION, AUSTRALIAN ACADEMY OF ENGLISH",Skills International Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03683K,TasCollege,International College of Tasmania Pty Ltd,Private,https://tascollege.edu.au/,,,,,,,,,,,,,,
03687F,Australian College of Community and Health Services,Australian College of Community and Health Services Pty Ltd,Private,www.acchs.edu.au,,,,,,,,,,,,,,
03689D,Kingsford International Institute,Downtown Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03693G,Villanova College,Villanova College,Private,NULL,,,,,,,,,,,,,,
03714G,"Australian Institute of Business and Technology, Sydney International School",AUSTRALIAN INSTITUTE OF BUSINESS AND TECHNOLOGY PTY. LTD.,Private,www.sis.edu.au,,,,,,,,,,,,,,
03715G,Australian Islamic College of Sydney,Australian Islamic College of Sydney,Private,NULL,,,,,,,,,,,,,,
03716F,Redeemer Lutheran College,Lutheran Church of Australia Queensland District,Private,NULL,,,,,,,,,,,,,,
03719C,St Stephen's School,St Stephen's School,Private,www.ststephens.wa.edu.au,,,,,,,,,,,,,,
03722G,NULL,Smart Connection Company Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03723G,Ruby Institute,Ruby Institute Pty LTD,Private,www.ruby.vic.edu.au,,,,,,,,,,,,,,
03726D,Fairholme College,Presbyterian Church of Queensland,Private,www.fairholme.qld.edu.au,,,,,,,,,,,,,,
03727C,NULL,The Lions Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03733E,Open Colleges School of Health,YourLife Health and Learning Inc,Private,www.schoolofhealth.edu.au,,,,,,,,,,,,,,
03736B,SP INTERNATIONAL COLLEGE,Sydney Centre for Finance Studies Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03737A,Niashi School of Management and Technology,Melbourne Centre for Technology Studies Pty Ltd,Private,www.nsmt.vic.edu.au,,,,,,,,,,,,,,
03739K,Southern Cross Education Institute (Higher Education) Pty Ltd,Southern Cross Education Institute (Higher Education) Pty Ltd,Private,http://www.scei-he.edu.au,,,,,,,,,,,,,,
03741E,TrEd College,Tred Consultants Pty Ltd,Private,www.tredcollege.edu.au,,,,,,,,,,,,,,
03744B,Crown Institute of Higher Education,Crown Institute of Higher Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03745A,St Brendan's College,Edmund Rice Education Australia Colleges Ltd,Private,https://www.stbrendans.qld.edu.au/,,,,,,,,,,,,,,
03747K,"Australian National Academy of Education, Ridge International College",Australian National Academy of Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03764J,Institute Of Science Management And Technology,Lambda Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03770M,Training for Knowledge and Livelihood,TKL College Pty Ltd,Private,www.tkl.edu.au,,,,,,,,,,,,,,
03771K,Moreton Bay College,Moreton Bay College,Private,www.mbc.qld.edu.au,,,,,,,,,,,,,,
03772J,Moreton Bay Boys' College,Moreton Bay Boys' College Limited,Private,www.mbbc.qld.edu.au,,,,,,,,,,,,,,
03775F,AUSINET,Australian Institute of Electro Technology Pty Ltd,Private,ausinet.edu.au,,,,,,,,,,,,,,
03776E,Australian Institute of Language,Eastlink Consulting Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03779B,United Colleges of Australia,United Colleges of Australia Pty Ltd as the trustee for UCA Unit Trust,Private,NULL,,,,,,,,,,,,,,
03781G,Australian College of International Studies,Australian College of International Studies Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03782G,AMA College,A.M.A. Services (W.A.) Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03790G,Blue Lotus College,Blue Lotus Academy Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03791F,Health Institute Australasia,Health Institute Australasia Pty Ltd,Private,http://www.healthinstitute.edu.au,,,,,,,,,,,,,,
03792E,Sydney Metropolitan International College,Sydney Metropolitan International College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03797M,Academy of Hypnotic Science; Stirling Institute; Stirling Institute of Business,Stirling Institute of Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03801J,Trinity Anglican College,The Anglican Schools Commission Incorporated,Private,NULL,,,,,,,,,,,,,,
03803G,Lindisfarne Anglican Grammar School,Lindisfarne Anglican School,Private,NULL,,,,,,,,,,,,,,
03810G,Rhodes International College,CAREER READY PTY LTD,Private,www.ric.edu.au,,,,,,,,,,,,,,
03814D,St Maroun's College,HOWAYEK BLESSINGS LTD,Private,NULL,,,,,,,,,,,,,,
03822D,Charlton Brown,Charlton Brown Pty Ltd,Private,http://charltonbrown.com.au,,,,,,,,,,,,,,
03831C,"iLearn OZ, MELBOURNE METRO COLLEGE",ILEARN OZ PTY LTD,Private,NULL,,,,,,,,,,,,,,
03832B,NULL,Aus Crest Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03838G,INTERNATIONAL INSTITUTE OF EDUCATION,FIRST CHOICE EDUCATION PTY. LTD.,Private,NULL,,,,,,,,,,,,,,
03845H,Higher Education Leadership Institute,Higher Education Leadership Institute,Private,NULL,,,,,,,,,,,,,,
03849D,Reddam House,Inspired Australia Holdings PTY LTD,Private,www.reddamhouse.com.au,,,,,,,,,,,,,,
03850M,NULL,Global Institute of Training and Education Pty Ltd,Private,www.gite.edu.au,,,,,,,,,,,,,,
03853H,Eastern College Australia Limited,Eastern College Australia Limited,Private,www.eastern.edu.au,,,,,,,,,,,,,,
03859B,ANE College,Australian National Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03860J,Hills International College; Hills Language College,Hills International College Ltd,Private,NULL,,,,,,,,,,,,,,
03868A,Mount Alvernia College,Mount Alvernia College Limited,Private,NULL,,,,,,,,,,,,,,
03869M,NULL,EMBRACIA EDUCATION & DEVELOPMENT PTY LTD,Private,NULL,,,,,,,,,,,,,,
03870G,Australian Scholar's College,Australian Scholar's College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03874C,West Melbourne Institute of Technology,West Melbourne Institute of Technology Pty Ltd,Private,www.wmit.edu.au,,,,,,,,,,,,,,
03878K,NULL,Opulence College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03880E,Canberra College of Management and Technology,Bhairav Baba Pty Ltd,Private,www.ccmtcollege.edu.au,,,,,,,,,,,,,,
03884A,First Aid Course Experts,Skills Training College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03886K,Australian National Education Institute,AUSTRALIAN NATIONAL EDUCATION HOLDING Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03888H,"Business College Online, Dragon College of Business, Australian City International College,Australian Vocational Institute, Sydney City English College",Australian City International College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03899E,NULL,St. Marys Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03907K,Australian Sovereign College,AUSTRALIAN SOVEREIGN COLLEGE PTY LTD,Private,ausc.edu.au,,,,,,,,,,,,,,
03909H,"Angel Institute of Education, The Angel Hair & Beauty Institute",CJAE Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03916J,NULL,Kingsway College Pty Ltd,Private,www.kingswaycollege.vic.edu.au,,,,,,,,,,,,,,
03917H,Shafston International College,Shafston International Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03920B,Fox Education and Consultancy,Fox Endeavours Pty Ltd,Private,http://www.fox.edu.au,,,,,,,,,,,,,,
03925H,NULL,Australasian College of Advanced Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03931K,Loreto Normanhurst,Loreto Normanhurst Limited,Private,www.loretonh.nsw.edu.au,,,,,,,,,,,,,,
03933H,Contempo College,Contempo Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03935F,NULL,Helix College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03936E,Global Institute of Education,J Chazzer & B Singh & H Singh,Private,NULL,,,,,,,,,,,,,,
03938C,SIGNATURE TRAINING PTY. LTD.,Signature Training Pty Ltd,Private,http://www.signaturetraining.edu.au,,,,,,,,,,,,,,
