cricos_provider_code,trading_name,institution_name,institution_type,website,,,,,,,,,,,,,,
03854G,Australian Federation College,LEARNVAULT PTY LTD,Private,www.afcollege.edu.au,,,,,,,,,,,,,,
03858C,Astral Skills Institute of Australia and Create Learn & Educate,THE EARLY CHILDHOOD LEARNING COMPANY PTY. LTD.,Private,https://asia.edu.au/,,,,,,,,,,,,,,
03882C,Rockford College,ROCKFORD INTERNATIONAL COLLEGE PTY LTD,Private,www.rockford.edu.au,,,,,,,,,,,,,,
03904B,NULL,Reach Community College Pty Ltd,Private,https://reachcollege.edu.au/,,,,,,,,,,,,,,
03906M,Sydney Met,Sydney Metropolitan Institute of Technology Pty Ltd,Private,http://www.sydneymet.edu.au/,,,,,,,,,,,,,,
03927F,NULL,Highgate International College Pty Ltd,Private,https://hic.edu.au/,,,,,,,,,,,,,,
03932J,ECA College of Health Sciences,ECA Higher Education Institute Pty Ltd,Private,https://chs.edu.au/,,,,,,,,,,,,,,
03944E,Imperial Institute of Sydney,INTERNATIONAL INSTITUTE OF SYDNEY PTY LTD,Private,https://iis.edu.au/,,,,,,,,,,,,,,
03945D,NULL,The Bright College Pty Ltd,Private,https://www.thebrightcollege.edu.au/,,,,,,,,,,,,,,
03951F,Sunbeam International College,Sunbeam International College Pty Ltd,Private,https://sunbeam.edu.au/,,,,,,,,,,,,,,
03956A,NULL,Pioneer College Pty Ltd,Private,https://pioneercollege.edu.au/,,,,,,,,,,,,,,
03967J,APEX Australia Higher Education,Apex Institute of Higher Education Pty Ltd,Private,https://apexhe.nsw.edu.au/,,,,,,,,,,,,,,
04001M,NULL,Brooklyn International College Pty Ltd,Private,https://brooklyn.edu.au/,,,,,,,,,,,,,,
04013G,Australian International Institute of Higher Education,Queensland Institute of Higher Education Pty Ltd,Private,https://www.aiihe.edu.au/,,,,,,,,,,,,,,
04061K,NULL,Britts College Pty Ltd,Private,https://brittscollege.edu.au/,,,,,,,,,,,,,,
04073F,NULL,Daffodil International College Pty Ltd,Private,https://daffodil.edu.au/,,,,,,,,,,,,,,
04078A,Southern Cross Institute (SCI) Pty Ltd,Southern Cross Institute (SCI),Private,https://sci.edu.au/,,,,,,,,,,,,,,
04089J,NULL,Global Healthcare Management College Pty Ltd,Private,https://ghmc.edu.au,,,,,,,,,,,,,,
04090E,Sydney Polytechnic Institute Pty Ltd,Sydney Polytechnic Institute,Private,https://spi.nsw.edu.au/,,,,,,,,,,,,,,
04095M,"The Australian Institute of Professional Counsellors Pty Ltd, AIPC Professional",Australian Institute of Professional Counsellors,Private,https://www.aipc.net.au,,,,,,,,,,,,,,
04096K,NULL,NATIONAL POLYTECHNIC OF AUSTRALIA PTY LTD,Private,https://npa.edu.au,,,,,,,,,,,,,,
04108M,PARAMOUNT COLLEGE,IIVS Pty Ltd,Private,https://www.paramount.edu.au,,,,,,,,,,,,,,
04135H,Sydney College of Professional Education,Sydney College of Professional Education,Private,https://www.scpe.edu.au,,,,,,,,,,,,,,
04142J,Epicure Skills Training Pty Ltd,Epicure Skills Training,Private,https://epicure.edu.au,,,,,,,,,,,,,,
04155D,Hopkins International College,Phia Education Pty Ltd,Private,https://hopkins.edu.au,,,,,,,,,,,,,,
04180C,The Performance College,The Performance College Pty Ltd,Private,https://tpc.edu.au,,,,,,,,,,,,,,
04202B,Southern Academy of Higher Education,Southern Academy of Higher Education Pty Ltd,Private,https://sahe.nsw.edu.au/,,,,,,,,,,,,,,
04265J,Nova Anglia College Pty Ltd,Nova Anglia College Pty Ltd,Private,https://www.nac.edu.au/,,,,,,,,,,,,,,
04311H,Englishwise Global,Language Savvy Pty Ltd,Private,https://englishwiseglobal.qld.edu.au/,,,,,,,,,,,,,,
03016A,Taylor Weir School of Hairdressing; Academy of International Hairdressing,School of Hairdressing Pty Ltd,Private,www.taylorweir.com.au,,,,,,,,,,,,,,
03222F,NULL,Australian Health and Science Institute Pty Ltd,Private,http://www.ahsi.edu.au,,,,,,,,,,,,,,
03567C,Engineering Institute of Technology Pty Ltd,Engineering Institute of Technology Pty Ltd,Private,www.eit.edu.au,,,,,,,,,,,,,,
03751C,Australasia Technology Institute,Australian International Education Centre Pty Ltd,Private,https://atinstitute.edu.au/,,,,,,,,,,,,,,
03835K,Canberra Institute of Education and Technology,Radix Education Pty Ltd,Private,https://ciet.edu.au/,,,,,,,,,,,,,,
03989C,Valley International College,Valley International Pty Ltd,Private,https://valleycollege.edu.au/,,,,,,,,,,,,,,
04021G,NULL,Alice Springs College of Australia Pty Ltd,Private,http://www.asca.edu.au/,,,,,,,,,,,,,,
04062J,Auscanus Institute of Australia,Auscanus Institute of Australia Pty Ltd,Private,www.auscanus.edu.au,,,,,,,,,,,,,,
04261B,KENTFORD COLLEGE,Kentford International College Pty Ltd,Private,https://www.kentford.edu.au/,,,,,,,,,,,,,,
00001K,NULL,Canberra Institute of Technology,Government,https://international.cit.edu.au/,,,,,,,,,,,,,,
00002J,Macquarie University,Macquarie University (Macquarie),Government,www.mq.edu.au,,,,,,,,,,,,,,
00003G,University of New England,University of New England,Government,www.une.edu.au,,,,,,,,,,,,,,
00008C,Monash University,Monash University (Monash),Government,www.monash.edu.au,,,,,,,,,,,,,,
00011G,NULL,Gordon Institute of TAFE,Government,http://www.gordontafe.edu.au/,,,,,,,,,,,,,,
00012G,"Holmesglen, Holmesglen Institute",Holmesglen Institute,Government,www.holmesglen.edu.au,,,,,,,,,,,,,,
00017B,Bond University Limited,Bond University,Private,http://www.bond.edu.au/,,,,,,,,,,,,,,
00018A,South Australian Government Schools,Department for Education,Government,http://www.internationalstudents.sa.edu.au,,,,,,,,,,,,,,
00020G,TAFE International Western Australia,Department of Training and Workforce Development,Government,http://www.tafeinternational.wa.edu.au/,,,,,,,,,,,,,,
00025B,The University of Queensland,The University of Queensland,Government,www.uq.edu.au,,,,,,,,,,,,,,
00026A,The University of Sydney,The University of Sydney,Government,http://sydney.edu.au,,,,,,,,,,,,,,
00051M,ELC Career College,ELC Career College Pty Ltd,Private,www.elc.edu.au,,,,,,,,,,,,,,
00057E,Alexander Language School,Alexander Language School Pty Ltd,Private,www.sgis.wa.edu.au,,,,,,,,,,,,,,
00092B,TAFE South Australia,TAFE SA,Government,http://www.tafesa.edu.au/international,,,,,,,,,,,,,,
00094M,NULL,South Australian College of English Pty Ltd,Private,http://www.sacecoll.sa.edu.au,,,,,,,,,,,,,,
00098G,UNSW Sydney,The University of New South Wales (UNSW),Government,www.unsw.edu.au,,,,,,,,,,,,,,
00099F,University of Technology Sydney (UTS),University of Technology Sydney (UTS),Government,www.uts.edu.au,,,,,,,,,,,,,,
00102E,University of Wollongong,University of Wollongong (UoW),Government,www.uow.edu.au,,,,,,,,,,,,,,
00111D,NULL,Swinburne University of Technology,Government,https://www.swinburne.edu.au/international,,,,,,,,,,,,,,
00114A,NULL,Flinders University,Government,http://www.flinders.edu.au/,,,,,,,,,,,,,,
00115M,La Trobe University,La Trobe University (La Trobe),Government,http://www.latrobe.edu.au/international,,,,,,,,,,,,,,
00116K,NULL,The University of Melbourne (UniMelb),Government,http://www.unimelb.edu.au/,,,,,,,,,,,,,,
00121B,NULL,University of South Australia (UniSA),Government,www.unisa.edu.au,,,,,,,,,,,,,,
00122A,RMIT University (RMIT),Royal Melbourne Institute of Technology,Government,www.rmit.edu.au,,,,,,,,,,,,,,
00125J,Murdoch University,Murdoch University (Murdoch),Government,www.murdoch.edu.au,,,,,,,,,,,,,,
00126G,The University of Western Australia,The University of Western Australia (UWA),Government,http://www.uwa.edu.au/,,,,,,,,,,,,,,
