"id","cricos_provider_code","institution_name","trading_name","website_url","postal_address_city","postal_address_state"
"472","02815M","Menzies Institute of Technology Pty Ltd","Menzies Institute of Technology",NULL,"West Melbourne","VIC"
"129","00008C","Monash University (Monash)","Monash University",NULL,"Clayton","VIC"
"150","00125J","Murdoch University (Murdoch)","Murdoch University",NULL,"MURDOCH","WA"
"13","00213J","Queensland University of Technology (QUT)","Queensland University of Technology",NULL,"BRISBANE","QLD"
"149","00122A","Royal Melbourne Institute of Technology","RMIT University (RMIT)",NULL,"MELBOURNE","VIC"
"483","02934D","Southern Cross Education Institute Pty Ltd","Southern Cross Education Institute, North Melbourne Grammar College",NULL,"North Melbourne","VIC"
"18","01241G","Southern Cross University (SCU)","Southern Cross University",NULL,"LISMORE","NSW"
"39","03047E","Stanley International College Pty Ltd","Stanley College",NULL,"West Perth","WA"
"594","03623M","Strategix Training Group Pty Ltd",NULL,NULL,"Redland Bay","QLD"
"144","00111D","Swinburne University of Technology",NULL,NULL,"HAWTHORN","VIC"
"492","03020E","TAFE Queensland","TAFE Queensland",NULL,"South Brisbane","QLD"
"139","00092B","TAFE SA","TAFE South Australia",NULL,"ADELAIDE","SA"
"496","03041M","TasTAFE","TasTAFE",NULL,"Hobart","TAS"
"275","00591E","Technical and Further Education Commission","TAFE NSW Technical and Further Education Commission; TAFE NSW Higher Education",NULL,"Broadway","NSW"
"8","00123M","The University of Adelaide (Adelaide)",NULL,NULL,"ADELAIDE","SA"
"147","00116K","The University of Melbourne (UniMelb)",NULL,NULL,"PARKVILLE","VIC"
"4","00109J","The University of Newcastle (UoN)","The University of Newcastle (UoN), The University of Newcastle Language Centre, Sydney",NULL,"CALLAGHAN","NSW"
"17","01032F","The University of Notre Dame Australia","The University of Notre Dame Australia",NULL,"FREMANTLE","WA"
"135","00025B","The University of Queensland","The University of Queensland",NULL,"ST LUCIA","QLD"
"136","00026A","The University of Sydney","The University of Sydney",NULL,"The University of Sydney","NSW"
"151","00126G","The University of Western Australia (UWA)","The University of Western Australia",NULL,"CRAWLEY","WA"
"178","00246M","Think: Colleges Pty Ltd","Think Education, APM College of Business and Communication, Australasian College of Natural Therapies, Billy Blue College of Design, Jansen Newman Institute, Southern School of Natural Therapies, William Blue College of Hospitality Management, Australian",NULL,"Surry Hill","NSW"
"52","03389E","Torrens University Australia Limited","Torrens University Australia; Torrens University Language Centre; Chifley Business School at Torrens University Australia CBS at Torrens University Australia Blue Mountains International Hotel Management School at Torrens University Australia BMIHMS at To",NULL,"Surry Hills","NSW"
"627","03741E","Tred Consultants Pty Ltd","TrEd College",NULL,"MACQUARIE PARK","NSW"
"12","00212K","University of Canberra",NULL,NULL,"BRUCE","ACT"
"128","00003G","University of New England","University of New England",NULL,"ARMIDALE","NSW"
"148","00121B","University of South Australia (UniSA)",NULL,NULL,"ADELAIDE","SA"
"177","00244B","University of Southern Queensland","University of Southern Queensland",NULL,"TOOWOOMBA","QLD"
"15","00586B","University of Tasmania (UTAS)",NULL,NULL,"Hobart","TAS"
"142","00099F","University of Technology Sydney (UTS)","University of Technology Sydney (UTS)",NULL,"BROADWAY","NSW"
"19","01595D","University of the Sunshine Coast","University of the Sunshine Coast",NULL,"Sippy Downs","QLD"
"143","00102E","University of Wollongong (UoW)","University of Wollongong",NULL,"WOLLONGONG","NSW"
"462","02723D","UOWC Ltd","UOW College Australia",NULL,"WOLLONGONG","NSW"
"9","00124K","Victoria University","Victoria University",NULL,"MELBOURNE","VIC"
"16","00917K","Western Sydney University","Western Sydney University",NULL,"Penrith","NSW"
"623","03733E","YourLife Health and Learning Inc","Open Colleges School of Health",NULL,"Adelaide","SA"
