102644D	Bachelor of Climate Science and Adaptation
102956K	Bachelor of Education (Early Childhood and Primary Studies)
102957J	Bachelor of Education (Primary Studies)
102958H	Bachelor of Education (Secondary Studies)
102959G	Master of Teaching (Primary Studies)
102960C	Master of Teaching (Secondary Studies)
103855G	Master of Philosophy (Medical Engineering)
103856F	Doctor of Philosophy (Medical Engineering)
104602J	Foundation Studies
104603H	Foundation Studies in Medicine
104604G	Degree Transfer Business
104605F	Degree Transfer Extended Business
104606E	Degree Transfer Commerce
104607D	Degree Transfer Extended Commerce
104608C	Degree Transfer Engineering
104609B	Degree Transfer Extended Engineering
104610J	Degree Transfer Information Technology
104611H	Degree Transfer Extended Information Technology
104612G	Pre-Masters Program Business
104613F	Pre-Masters Program Information Technology
105360C	Master of Clinical Epidemiology
105361B	Bachelor of Computing (Honours)
105362A	Bachelor of Data Science
105363M	Bachelor of Data Science / Bachelor of Mathematics
105364K	Bachelor of Data Science / Bachelor of Computer Science
105991E	Master of Translation Studies
106118E	Bachelor of Psychological Science/Bachelor of Business
106119D	Bachelor of Psychological Science/Bachelor of Social Science
106657M	Bachelor of Nursing
106658K	Bachelor of Psychological Science/Bachelor of Laws (Honours)
106659J	Bachelor of Biomedicine
106660E	Bachelor of Biomedicine/Bachelor of Laws (Honours)
106893K	Bachelor of Music and Performing Arts
106894J	Bachelor of Music and Performing Arts/Bachelor of Arts
106895H	Bachelor of Music and Performing Arts (Honours)
107759H	Master of Philosophy (Business Systems and Analytics)
107760D	Doctor of Philosophy (Health Economics)
107761C	Master of Philosophy (Health Economics)
107762B	Doctor of Philosophy (Business Systems and Analytics)
108849J	Diploma in Languages
110884K	Bachelor of Criminology
110885J	Bachelor of Criminology/Bachelor of Psychological Science
110886H	Bachelor of Criminology/Bachelor of Laws (Honours)
111298J	Bachelor of Chemical Engineering (Honours)
111299H	Bachelor of Chemical Engineering (Honours)/Bachelor of Business
111300J	Bachelor of Chemical Engineering (Honours)/Bachelor of Mathematics
111301H	Bachelor of Civil Engineering (Honours)
111302G	Bachelor of Civil Engineering (Honours)/Bachelor of Environmental Engineering (Honours)
111303F	Bachelor of Civil Engineering (Honours)/Bachelor of Mathematics
111304E	Bachelor of Civil Engineering (Honours)/Bachelor of Surveying (Honours)
111305D	Bachelor of Computer Systems Engineering (Honours)
111306C	Bachelor of Computer Systems Engineering (Honours)/Bachelor of Computer Science
111307B	Bachelor of Computer Systems Engineering (Honours)/Bachelor of Mathematics
111308A	Bachelor of Construction Management (Building) (Honours)
111309M	Bachelor of Electrical & Electronic Engineering (Honours)/Bachelor of Computer Systems Engineering (Honours)
111310G	Bachelor of Electrical and Electronic Engineering (Honours)
111332A	Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Business
111333M	Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Mathematics
111338F	Bachelor of Environmental Engineering (Honours)
111339E	Bachelor of Mechanical Engineering (Honours)
111371E	Bachelor of Mechanical Engineering (Honours)/Bachelor of Business
111373C	Bachelor of Mechanical Engineering (Honours)/Bachelor of Mathematics
111374B	Bachelor of Mechanical Engineering (Honours)/Bachelor of Mechatronics Engineering (Honours)
111375A	Bachelor of Mechatronics Engineering (Honours)
111376M	Bachelor of Mechatronics Engineering (Honours)/B Electrical & Electronic Engineering (Honours)
111377K	Bachelor of Mechatronics Engineering (Honours)/Bachelor of Mathematics
111378J	Bachelor of Medical Engineering (Honours)
111379H	Bachelor of Renewable Energy Engineering (Honours)
111380D	Bachelor of Software Engineering (Honours)
111381C	Bachelor of Surveying (Honours)
